Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2014,A,0,,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,None,Q5,ISCED11_1,None,RO,2025-12-04T00:00:00,2022,1.00506
2022,A,0,,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,None,Q5,ISCED11_1,None,RO,2025-12-04T00:00:00,2022,1.03297
2003,A,0,,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,None,Q5,ISCED11_2,None,RO,2025-12-04T00:00:00,2022,1.07187
2008,A,0,,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,None,Q5,ISCED11_2,None,RO,2025-12-04T00:00:00,2022,1.00112
2014,A,0,,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,None,Q5,ISCED11_2,None,RO,2025-12-04T00:00:00,2022,0.98751
2022,A,0,,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,None,Q5,ISCED11_2,None,RO,2025-12-04T00:00:00,2022,1.01922
2003,A,0,,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,None,Q5,ISCED11_3,None,RO,2025-12-04T00:00:00,2022,0.94159
2008,A,0,,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,None,Q5,ISCED11_3,None,RO,2025-12-04T00:00:00,2022,0.95865
2014,A,0,,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,None,Q5,ISCED11_3,None,RO,2025-12-04T00:00:00,2022,0.857
2022,A,0,,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,None,Q5,ISCED11_3,None,RO,2025-12-04T00:00:00,2022,0.90963
2003,A,0,,Kenya Housing Survey 2023/24. The survey collected data on school attendance and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,R,None,ISCED11_1,None,RO,2025-12-04T00:00:00,2024,1.12479
2008,A,0,,Kenya Housing Survey 2023/24. The survey collected data on school attendance and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,R,None,ISCED11_1,None,RO,2025-12-04T00:00:00,2024,1.08545
2009,A,0,,Kenya Housing Survey 2023/24. The survey collected data on school attendance and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,R,None,ISCED11_1,None,RO,2025-12-04T00:00:00,2024,1.14172
2014,A,0,,Kenya Housing Survey 2023/24. The survey collected data on school attendance and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,R,None,ISCED11_1,None,RO,2025-12-04T00:00:00,2024,1.07388
2019,A,0,,Kenya Housing Survey 2023/24. The survey collected data on school attendance and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,R,None,ISCED11_1,None,RO,2025-12-04T00:00:00,2024,1.09044
