Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2019,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRTN,404,None,Y0,NUMBER,2025-03-19T00:00:00,2023,53717.0
2020,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRTN,404,None,Y0,NUMBER,2025-03-19T00:00:00,2023,53095.0
2021,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRTN,404,None,Y0,NUMBER,2025-03-19T00:00:00,2023,52765.0
2022,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRTN,404,None,Y0,NUMBER,2025-03-19T00:00:00,2023,52477.0
2023,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRTN,404,None,Y0,NUMBER,2025-03-19T00:00:00,2023,51498.0
2000,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRTN,404,F,Y0,NUMBER,2025-03-19T00:00:00,2023,34554.0
2001,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRTN,404,F,Y0,NUMBER,2025-03-19T00:00:00,2023,34036.0
2002,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRTN,404,F,Y0,NUMBER,2025-03-19T00:00:00,2023,33288.0
2003,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRTN,404,F,Y0,NUMBER,2025-03-19T00:00:00,2023,32297.0
2004,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRTN,404,F,Y0,NUMBER,2025-03-19T00:00:00,2023,31142.0
2005,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRTN,404,F,Y0,NUMBER,2025-03-19T00:00:00,2023,29862.0
2006,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRTN,404,F,Y0,NUMBER,2025-03-19T00:00:00,2023,28955.0
2007,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRTN,404,F,Y0,NUMBER,2025-03-19T00:00:00,2023,28383.0
2008,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRTN,404,F,Y0,NUMBER,2025-03-19T00:00:00,2023,27338.0
2009,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRTN,404,F,Y0,NUMBER,2025-03-19T00:00:00,2023,27406.0
2010,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRTN,404,F,Y0,NUMBER,2025-03-19T00:00:00,2023,27301.0
2011,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRTN,404,F,Y0,NUMBER,2025-03-19T00:00:00,2023,27029.0
2012,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRTN,404,F,Y0,NUMBER,2025-03-19T00:00:00,2023,26877.0
2013,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRTN,404,F,Y0,NUMBER,2025-03-19T00:00:00,2023,26284.0
2014,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRTN,404,F,Y0,NUMBER,2025-03-19T00:00:00,2023,25605.0
2015,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRTN,404,F,Y0,NUMBER,2025-03-19T00:00:00,2023,24935.0
2016,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRTN,404,F,Y0,NUMBER,2025-03-19T00:00:00,2023,24686.0
2017,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRTN,404,F,Y0,NUMBER,2025-03-19T00:00:00,2023,24579.0
2018,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRTN,404,F,Y0,NUMBER,2025-03-19T00:00:00,2023,24165.0
2019,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRTN,404,F,Y0,NUMBER,2025-03-19T00:00:00,2023,23710.0
2020,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRTN,404,F,Y0,NUMBER,2025-03-19T00:00:00,2023,23449.0
2021,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRTN,404,F,Y0,NUMBER,2025-03-19T00:00:00,2023,23294.0
2022,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRTN,404,F,Y0,NUMBER,2025-03-19T00:00:00,2023,23174.0
2023,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRTN,404,F,Y0,NUMBER,2025-03-19T00:00:00,2023,22729.0
2000,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRTN,404,M,Y0,NUMBER,2025-03-19T00:00:00,2023,42214.0
2001,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRTN,404,M,Y0,NUMBER,2025-03-19T00:00:00,2023,41772.0
2002,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRTN,404,M,Y0,NUMBER,2025-03-19T00:00:00,2023,41051.0
2003,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRTN,404,M,Y0,NUMBER,2025-03-19T00:00:00,2023,39961.0
2004,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRTN,404,M,Y0,NUMBER,2025-03-19T00:00:00,2023,38763.0
2005,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRTN,404,M,Y0,NUMBER,2025-03-19T00:00:00,2023,37395.0
2006,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRTN,404,M,Y0,NUMBER,2025-03-19T00:00:00,2023,36349.0
2007,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRTN,404,M,Y0,NUMBER,2025-03-19T00:00:00,2023,35755.0
2008,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRTN,404,M,Y0,NUMBER,2025-03-19T00:00:00,2023,34598.0
2009,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRTN,404,M,Y0,NUMBER,2025-03-19T00:00:00,2023,34756.0
2010,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRTN,404,M,Y0,NUMBER,2025-03-19T00:00:00,2023,34652.0
2011,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRTN,404,M,Y0,NUMBER,2025-03-19T00:00:00,2023,34251.0
2012,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRTN,404,M,Y0,NUMBER,2025-03-19T00:00:00,2023,34062.0
2013,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRTN,404,M,Y0,NUMBER,2025-03-19T00:00:00,2023,33299.0
2014,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRTN,404,M,Y0,NUMBER,2025-03-19T00:00:00,2023,32415.0
2015,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRTN,404,M,Y0,NUMBER,2025-03-19T00:00:00,2023,31506.0
2016,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRTN,404,M,Y0,NUMBER,2025-03-19T00:00:00,2023,31176.0
2017,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRTN,404,M,Y0,NUMBER,2025-03-19T00:00:00,2023,31094.0
2018,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRTN,404,M,Y0,NUMBER,2025-03-19T00:00:00,2023,30560.0
